										
sampleid	sample_location	microbe_type	Family	Genus	Species	island	region	province	Municipality of Presentacion	elevation
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
25352-GB-VS	Gut	Bacteria	Dicroglossidae	Limnonectes	woodworthi	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25352-SB-VS	Skin	Bacteria	Dicroglossidae	Limnonectes	woodworthi	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25356-GB-VS	Gut	Bacteria	Ranidae	Sanguirana	luzonensis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25356-SB-VS	Skin	Bacteria	Ranidae	Sanguirana	luzonensis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25361-GB-VS	Gut	Bacteria	Dicroglossidae	Occidozyga	laevis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25361-SB-VS	Skin	Bacteria	Dicroglossidae	Occidozyga	laevis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25363-GB-VS	Gut	Bacteria	Microhylidae	Kaloula	walteri	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25363-SB-VS	Skin	Bacteria	Microhylidae	Kaloula	walteri	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25411-GB-VS	Gut	Bacteria	Ceratobatrichidae	Platymantis	dorsalis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25411-SB-VS	Skin	Bacteria	Ceratobatrichidae	Platymantis	dorsalis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25486-GB-VS	Gut	Bacteria	Ceratobatrichidae	Platymantis	corrugatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	649
25486-SB-VS	Skin	Bacteria	Ceratobatrichidae	Platymantis	corrugatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	649
25518-GB-VS	Gut	Bacteria	Rhacophoridae	Rhacophorus	bimaculatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25518-SB-VS	Skin	Bacteria	Rhacophoridae	Rhacophorus	bimaculatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25544-GB-VS	Gut	Bacteria	Ranidae	Pulchrana	similis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25544-SB-VS	Skin	Bacteria	Ranidae	Pulchrana	similis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25594-GB-VS	Gut	Bacteria	Dicroglossidae	Fejervarya	vittigera	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	110
25594-SB-VS	Skin	Bacteria	Dicroglossidae	Fejervarya	vittigera	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	110
25606-GB-VS	Gut	Bacteria	Dicroglossidae	Limnonectes	macrocephalus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	152
25606-SB-VS	Skin	Bacteria	Dicroglossidae	Limnonectes	macrocephalus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	152
